id,region,band1_id,band1_votes,band2_id,band2_votes,last_updated,start_time,end_time,winner_id,show_score,sponsor,sponsor_msg
1,1,1,0,2,0,2023-03-23 15:10:00,2025-03-24 10:00:00,2025-03-24 10:30:00,0,1,NULL,NULL
2,1,3,0,4,0,2023-03-23 15:10:00,2025-03-24 10:30:00,2025-03-24 11:00:00,0,1,NULL,NULL
3,1,5,0,6,0,2023-03-23 15:10:00,2025-03-24 11:00:00,2025-03-24 11:30:00,0,1,NULL,NULL
4,1,7,0,8,0,2023-03-23 15:10:00,2025-03-24 11:30:00,2025-03-24 12:00:00,0,1,NULL,NULL
5,1,9,0,10,0,2023-03-23 15:10:00,2025-03-24 13:00:00,2025-03-24 13:30:00,0,1,NULL,NULL
6,1,11,0,12,0,2023-03-23 15:10:00,2025-03-24 13:30:00,2025-03-24 14:00:00,0,1,NULL,NULL
7,1,13,0,14,0,2023-03-23 15:10:00,2025-03-24 14:00:00,2025-03-24 14:30:00,0,1,NULL,NULL
8,1,15,0,16,0,2023-03-23 15:10:00,2025-03-24 14:30:00,2025-03-24 15:00:00,0,1,NULL,NULL
9,2,17,0,18,0,2023-03-23 15:10:00,2025-03-25 10:00:00,2025-03-25 10:30:00,0,1,NULL,NULL
10,2,19,0,20,0,2023-03-23 15:10:00,2025-03-25 10:30:00,2025-03-25 11:00:00,0,1,NULL,NULL
11,2,21,0,22,0,2023-03-23 15:10:00,2025-03-25 11:00:00,2025-03-25 11:30:00,0,1,NULL,NULL
12,2,23,0,24,0,2023-03-23 15:10:00,2025-03-25 11:30:00,2025-03-25 12:00:00,0,1,NULL,NULL
13,2,25,0,26,0,2023-03-23 15:10:00,2025-03-25 13:00:00,2025-03-25 13:30:00,0,1,NULL,NULL
14,2,27,0,28,0,2023-03-23 15:10:00,2025-03-25 13:30:00,2025-03-25 14:00:00,0,1,NULL,NULL
15,2,29,0,30,0,2023-03-23 15:10:00,2025-03-25 14:00:00,2025-03-25 14:30:00,0,1,NULL,NULL
16,2,31,0,32,0,2023-03-23 15:10:00,2025-03-25 14:30:00,2025-03-25 15:00:00,0,1,NULL,NULL
17,3,33,0,34,0,2023-03-23 15:10:00,2025-03-26 10:00:00,2025-03-26 10:30:00,0,1,NULL,NULL
18,3,35,0,36,0,2023-03-23 15:10:00,2025-03-26 10:30:00,2025-03-26 11:00:00,0,1,NULL,NULL
19,3,37,0,38,0,2023-03-23 15:10:00,2025-03-26 11:00:00,2025-03-26 11:30:00,0,1,NULL,NULL
20,3,39,0,40,0,2023-03-23 15:10:00,2025-03-26 11:30:00,2025-03-26 12:00:00,0,1,NULL,NULL
21,3,41,0,42,0,2023-03-23 15:10:00,2025-03-26 13:00:00,2025-03-26 13:30:00,0,1,NULL,NULL
22,3,43,0,44,0,2023-03-23 15:10:00,2025-03-26 13:30:00,2025-03-26 14:00:00,0,1,NULL,NULL
23,3,45,0,46,0,2023-03-23 15:10:00,2025-03-26 14:00:00,2025-03-26 14:30:00,0,1,NULL,NULL
24,3,47,0,48,0,2023-03-23 15:10:00,2025-03-26 14:30:00,2025-03-26 15:00:00,0,1,NULL,NULL
25,4,49,0,50,0,2023-03-23 15:10:00,2025-03-27 10:00:00,2025-03-27 10:30:00,0,1,NULL,NULL
26,4,51,0,52,0,2023-03-23 15:10:00,2025-03-27 10:30:00,2025-03-27 11:00:00,0,1,NULL,NULL
27,4,53,0,54,0,2023-03-23 15:10:00,2025-03-27 11:00:00,2025-03-27 11:30:00,0,1,NULL,NULL
28,4,55,0,56,0,2023-03-23 15:10:00,2025-03-27 11:30:00,2025-03-27 12:00:00,0,1,NULL,NULL
29,4,57,0,58,0,2023-03-23 15:10:00,2025-03-27 13:00:00,2025-03-27 13:30:00,0,1,NULL,NULL
30,4,59,0,60,0,2023-03-23 15:10:00,2025-03-27 13:30:00,2025-03-27 14:00:00,0,1,NULL,NULL
31,4,61,0,62,0,2023-03-23 15:10:00,2025-03-27 14:00:00,2025-03-27 14:30:00,0,1,NULL,NULL
32,4,63,0,64,0,2023-03-23 15:10:00,2025-03-27 14:30:00,2025-03-27 15:00:00,0,1,NULL,NULL
33,1,0,0,0,0,2023-03-23 15:10:00,2025-03-31 10:00:00,2025-03-31 10:30:00,0,1,NULL,NULL
34,1,0,0,0,0,2023-03-23 15:10:00,2025-03-31 10:30:00,2025-03-31 11:00:00,0,1,NULL,NULL
35,1,0,0,0,0,2023-03-23 15:10:00,2025-03-31 11:00:00,2025-03-31 11:30:00,0,1,NULL,NULL
36,1,0,0,0,0,2023-03-23 15:10:00,2025-03-31 11:30:00,2025-03-31 12:00:00,0,1,NULL,NULL
37,2,0,0,0,0,2023-03-23 15:10:00,2025-03-31 13:00:00,2025-03-31 13:30:00,0,1,NULL,NULL
38,2,0,0,0,0,2023-03-23 15:10:00,2025-03-31 13:30:00,2025-03-31 14:00:00,0,1,NULL,NULL
39,2,0,0,0,0,2023-03-23 15:10:00,2025-03-31 14:00:00,2025-03-31 14:30:00,0,1,NULL,NULL
40,2,0,0,0,0,2023-03-23 15:10:00,2025-03-31 14:30:00,2025-03-31 15:00:00,0,1,NULL,NULL
